year	datetime	stage	regular_season	playoffs	opponent	seed	opponent_seed	home_away	home	away	status	played	postponed	future	new_date	outcome	win	loss	tie	forfeit	runs_scored	runs_allowed	note
2011	2011-08-18 17:30:00	regular season	True	False	Hit Squad			away	False	True	played	True	False	False		loss	False	True	False	False	9	19	
2011	2011-09-14 17:30:00	playoffs	False	True	Mixed Nutz	7	2	away	False	True	played	True	False	False		loss	False	True	False	False	9	11	
2011	2011-09-15 17:30:00	playoffs	False	True	Loose Cannons	7	3	away	False	True	played	True	False	False		loss	False	True	False	False	8	15	
2012	2012-06-07 17:30:00	regular season	True	False	Field Surveyors			home	True	False	played	True	False	False		win	True	False	False	False	15	9	
2012	2012-06-12 17:30:00	regular season	True	False	Chuck Norris All-Stars			away	False	True	postponed	False	True	False	2012-06-18								rain
2012	2012-06-18 17:30:00	regular season	True	False	Chuck Norris All-Stars			away	False	True	played	True	False	False		win	True	False	False	False	20	4	
2012	2012-06-20 17:30:00	regular season	True	False	Hit Squad			home	True	False	played	True	False	False		win	True	False	False	True	7	0	
2012	2012-06-26 17:30:00	regular season	True	False	Loose Cannons			away	False	True	played	True	False	False		loss	False	True	False	False	6	25	
2012	2012-07-12 17:30:00	regular season	True	False	Toxic Waste			home	True	False	played	True	False	False		loss	False	True	False	False	7	16	
2012	2012-07-19 17:30:00	regular season	True	False	Field Surveyors			away	False	True	played	True	False	False		win	True	False	False	False	10	2	6 innings, lightning
2012	2012-07-24 17:30:00	regular season	True	False	Chuck Norris All-Stars			home	True	False	played	True	False	False		loss	False	True	False	False	5	17	
2012	2012-07-26 17:30:00	regular season	True	False	Field Surveyors			home	True	False	postponed	False	True	False	2012-08-06								heat
2012	2012-08-01 17:30:00	regular season	True	False	Toxic Waste			away	False	True	played	True	False	False		loss	False	True	False	False	7	16	
2012	2012-08-06 17:30:00	regular season	True	False	Field Surveyors			home	True	False	played	True	False	False		win	True	False	False	False	21	12	
2012	2012-08-07 17:30:00	regular season	True	False	Loose Cannons			home	True	False	played	True	False	False		loss	False	True	False	False	16	25	8 innings
2012	2012-08-16 17:30:00	regular season	True	False	Toxic Waste			away	False	True	played	True	False	False		win	True	False	False	False	11	10	
2012	2012-08-28 17:30:00	playoffs	False	True	Toxic Waste	3	2	away	False	True	played	True	False	False		loss	False	True	False	False	5	22	
2012	2012-08-30 17:30:00	playoffs	False	True	Field Surveyors	3	5	home	True	False	played	True	False	False		win	True	False	False	True	7	0	
2012	2012-09-11 17:30:00	playoffs	False	True	Loose Cannons	3	1	away	False	True	played	True	False	False		loss	False	True	False	False	7	26	
2013	2013-05-22 17:30:00	regular season	True	False	Toxic Waste			away	False	True	played	True	False	False		loss	False	True	False	False	8	14	
2013	2013-06-12 17:30:00	regular season	True	False	Corn Wallaces			home	True	False	played	True	False	False		loss	False	True	False	False	7	10	
2013	2013-06-20 17:30:00	regular season	True	False	Chuck Norris All-Stars			away	False	True	played	True	False	False		loss	False	True	False	False	11	18	
2013	2013-06-26 17:30:00	regular season	True	False	Loose Cannons			home	True	False	played	True	False	False		loss	False	True	False	False	3	17	
2013	2013-07-10 17:30:00	regular season	True	False	Toxic Waste			home	True	False	played	True	False	False		loss	False	True	False	False	8	16	
2013	2013-07-24 17:30:00	regular season	True	False	Corn Wallaces			away	False	True	played	True	False	False		win	True	False	False	False	17	14	
2013	2013-08-01 17:30:00	regular season	True	False	Chuck Norris All-Stars			home	True	False	played	True	False	False		loss	False	True	False	False	10	20	
2013	2013-08-07 17:30:00	regular season	True	False	Loose Cannons			away	False	True	played	True	False	False		loss	False	True	False	False	3	22	
2013	2013-08-13 17:30:00	playoffs	False	True	Corn Wallaces	5	4	away	False	True	played	True	False	False		loss	False	True	False	False	10	11	
